accuracy,val_accuracy,macro_f1_score,val_macro_f1_score,loss,val_loss
0.34732958674430847,0.13984540104866028,0.055368438363075256,0.02320793643593788,1.7484359741210938,2.3700649738311768
0.4297259449958801,0.16373857855796814,0.20147587358951569,0.0018115938873961568,1.577667474746704,2.3653290271759033
0.467498242855072,0.11524946987628937,0.3043365180492401,0.029676808044314384,1.4794707298278809,2.808640956878662
0.5014054775238037,0.1257905811071396,0.3682175576686859,0.030992334708571434,1.4001365900039673,2.747821807861328
0.5096626877784729,0.24385102093219757,0.3956108093261719,0.09663049876689911,1.37014639377594,2.0696237087249756
0.5381236672401428,0.2789880633354187,0.4357129633426666,0.14448900520801544,1.309365153312683,2.4757890701293945
0.5530568957328796,0.4251581132411957,0.45829203724861145,0.29746922850608826,1.2768300771713257,1.6100221872329712
0.5716795325279236,0.5031623244285583,0.4813111126422882,0.3910070061683655,1.2356536388397217,1.4065494537353516
0.587315559387207,0.2979620397090912,0.512826144695282,0.18744027614593506,1.1825103759765625,2.17277193069458
0.611033022403717,0.25790584087371826,0.5357025265693665,0.16911281645298004,1.1265192031860352,2.3651440143585205
0.6256148815155029,0.3352073132991791,0.5639430284500122,0.2498268038034439,1.079161286354065,2.057743787765503
0.6407238245010376,0.3443429470062256,0.58249831199646,0.2378266155719757,1.037453532218933,2.1702115535736084
0.6660224795341492,0.41953620314598083,0.6121530532836914,0.3317084312438965,0.979800820350647,1.7789549827575684
0.6774420142173767,0.46099787950515747,0.6311690807342529,0.37006282806396484,0.9361013174057007,1.6123523712158203
0.7015109062194824,0.36191144585609436,0.6595895886421204,0.29530057311058044,0.8782832622528076,2.1460585594177246
0.7192550897598267,0.5200281143188477,0.6810768246650696,0.44743719696998596,0.8260820508003235,1.511366367340088
0.7461349368095398,0.4975404143333435,0.7191014885902405,0.4369329512119293,0.7425647974014282,1.622103214263916
0.7670414447784424,0.5326774716377258,0.7450683116912842,0.47500088810920715,0.6765552759170532,1.6114249229431152
0.8021785020828247,0.4497540295124054,0.7780454158782959,0.40289050340652466,0.5938717126846313,1.8765586614608765
0.810259997844696,0.4293745756149292,0.7944068312644958,0.3503461182117462,0.5521970391273499,2.262759208679199
0.8292340040206909,0.4715389907360077,0.8191208839416504,0.42900899052619934,0.5063585042953491,1.8994123935699463
0.8485593795776367,0.3612087070941925,0.8374514579772949,0.3234674334526062,0.4490692615509033,2.4147777557373047
0.8619114756584167,0.45326775312423706,0.8545467853546143,0.40381714701652527,0.40947481989860535,2.1039586067199707
